CustomerKey,Gender,Name,City,State,Zip Code,Country,Continent,Birthday,Age
301,Female,Lilly Harding,WANDEARAH EAST,South Australia,5523,Australia,Australia,1939-07-03,85
325,Female,Madison Hull,MOUNT BUDD,Western Australia,6522,Australia,Australia,1979-09-27,44
554,Female,Claire Ferres,WINJALLOK,Victoria,3380,Australia,Australia,1947-05-26,77
786,Male,Jai Poltpalingada,MIDDLE RIVER,South Australia,5223,Australia,Australia,1957-09-17,66
1042,Male,Aidan Pankhurst,TAWONGA SOUTH,Victoria,3698,Australia,Australia,1965-11-19,58
1086,Male,Hayden Clegg,TEMPLERS,South Australia,5371,Australia,Australia,1954-01-20,70
1133,Male,Nicholas Caffyn,JUBILEE POCKET,Queensland,4802,Australia,Australia,1969-11-22,54
1256,Male,Lincoln Jenks,KULLOGUM,Queensland,4660,Australia,Australia,1950-03-12,74
1314,Male,Isaac Israel,EDITH RIVER,Northern Territory,852,Australia,Australia,1965-12-21,58
1568,Male,Luke Virtue,KOTTA,Victoria,3565,Australia,Australia,1975-07-25,49
1585,Female,Anna Hallstrom,GREEN LAKE,Victoria,3401,Australia,Australia,1990-08-12,34
1626,Female,Mary Leach,NEDS CORNER,Victoria,3496,Australia,Australia,1985-10-17,38
1642,Female,Ruby Ambrose,TARLO,New South Wales,2580,Australia,Australia,1965-03-03,59
1677,Male,Dean Innes,ELLESMERE,Queensland,4610,Australia,Australia,1964-11-22,59
1817,Female,Laura Le Rennetel,BEAUCHAMP,Victoria,3579,Australia,Australia,1986-07-10,38
1863,Female,Chelsea Watkins,NAMBOUR DC,Queensland,4560,Australia,Australia,1984-09-22,39
1945,Male,Angus Beaurepaire,GREENFIELDS,Western Australia,6210,Australia,Australia,1974-09-20,49
2238,Female,Isabelle Cochran,BRUCKNELL,Victoria,3268,Australia,Australia,1969-10-31,54
2248,Male,Rory Spargo,JUNG,Victoria,3401,Australia,Australia,1987-12-15,36
2435,Female,Lilian Hall,BLAKEBROOK,New South Wales,2480,Australia,Australia,1968-04-01,56
2469,Female,Phoebe Kneeshaw,BIDWILL,Queensland,4650,Australia,Australia,1948-05-20,76
2512,Female,Matilda Hake,BUNKERS HILL,Victoria,3352,Australia,Australia,1992-11-13,31
2604,Female,Claudia Davison,KUBIN VILLAGE,Queensland,4875,Australia,Australia,1995-04-08,29
2751,Male,Nate Lowes,CALLIDE,Queensland,4715,Australia,Australia,1979-08-20,44
2792,Male,Zachary Perkin,BAMGANIE,Victoria,3333,Australia,Australia,1976-08-25,47
2836,Male,Nicholas Shand,GORDONBROOK,Queensland,4610,Australia,Australia,1959-02-23,65
3002,Male,Joshua Aronson,SMITHTON,Tasmania,7330,Australia,Australia,2000-11-08,23
3006,Female,Alica Stuckey,HARTLEY,New South Wales,2790,Australia,Australia,1943-01-13,81
3203,Male,Aidan Kane,ARGENTON,New South Wales,2284,Australia,Australia,1998-08-18,25
3270,Male,Hunter Templeton,CENTRAL TILBA,New South Wales,2546,Australia,Australia,1948-05-02,76
3327,Female,Alannah Le Messurier,KONONGWOOTONG,Victoria,3315,Australia,Australia,1948-04-28,76
3410,Male,Will Armitage,BOLLON,Queensland,4488,Australia,Australia,1950-05-12,74
3575,Male,Noah McFarland,HOPPERS CROSSING,Victoria,3029,Australia,Australia,1942-03-04,82
3964,Female,Rose Code,DIXIE,Victoria,3265,Australia,Australia,1944-02-16,80
4004,Female,Piper Wrixon,WYALLA PLAZA,Queensland,4350,Australia,Australia,1995-06-24,29
4174,Female,Rebecca Yelverton,OCEAN REEF,Western Australia,6027,Australia,Australia,1990-10-05,33
4633,Female,Victoria Brown,KEYSLAND,Queensland,4612,Australia,Australia,1964-01-08,60
4734,Male,Justin Felan,PARMELIA,Western Australia,6167,Australia,Australia,1946-02-13,78
4808,Male,Jamie Evenden,HAYWARDS BAY,New South Wales,2530,Australia,Australia,1944-06-28,80
4811,Male,Brayden Bulcock,WIDGIEMOOLTHA,Western Australia,6443,Australia,Australia,1994-12-21,29
5097,Female,Bella Foley,Mount Pleasant,Queensland,4740,Australia,Australia,1942-11-13,81
5445,Male,Jake Clibborn,REEFTON,Victoria,3799,Australia,Australia,1952-09-10,71
5962,Male,Aiden Dugdale,SWAN BAY,New South Wales,2324,Australia,Australia,1938-11-17,85
6193,Female,Lara Cassidy,REGENCY PARK,South Australia,5010,Australia,Australia,1945-12-27,78
6242,Male,Cody Grosse,KOOMBERKINE,Western Australia,6461,Australia,Australia,1964-02-10,60
6258,Male,Zac Hull,SANDFORD,Victoria,3312,Australia,Australia,1976-07-03,48
6308,Male,Taj Sexton,KOOREH,Victoria,3478,Australia,Australia,2001-02-15,23
6459,Male,Mitchell Leigh,KEILOR DOWNS,Victoria,3038,Australia,Australia,1942-05-24,82
6794,Female,Abby Hyam,CALDER,Tasmania,7325,Australia,Australia,1971-02-06,53
7109,Male,Hamish Bolton,LANKEYS CREEK,New South Wales,2644,Australia,Australia,1979-11-15,44
7122,Female,Lara Virtue,HIGGINSVILLE,Western Australia,6443,Australia,Australia,1999-08-13,25
7313,Female,Chelsea Keast,KANMANTOO,South Australia,5252,Australia,Australia,1990-01-26,34
7398,Male,Jonathan Thorpe,COOEE BAY,Queensland,4703,Australia,Australia,1945-06-10,79
7493,Male,Declan Torrens,NOORINDOO,Queensland,4417,Australia,Australia,1978-07-20,46
7494,Male,Ben Coventry,HYDE PARK,Queensland,4812,Australia,Australia,1967-04-02,57
7566,Male,William Prenzel,KILLARA,Victoria,3691,Australia,Australia,1993-07-01,31
7664,Male,Riley Gaffney,CANOWIE,South Australia,5419,Australia,Australia,1947-03-18,77
7700,Male,Lucas Keenan,STANWELL TOPS,New South Wales,2508,Australia,Australia,1975-01-27,49
7725,Female,Anna Prerauer,CURRIMUNDI,Queensland,4551,Australia,Australia,1968-01-06,56
7783,Female,Charli Gullett,MOUNT WALLACE,Victoria,3342,Australia,Australia,1961-08-13,63
8098,Female,Alana Belt,SOUTH GREENOUGH,Western Australia,6528,Australia,Australia,1967-01-26,57
8181,Female,Amelie Nairn,DARTMOUTH,Victoria,3701,Australia,Australia,1985-07-08,39
8220,Male,David Blanch,Vista,South Australia,5091,Australia,Australia,1945-07-29,79
8789,Female,Layla Mackellar,KALKARINDJI,Northern Territory,852,Australia,Australia,1999-07-13,25
8794,Female,Abbey Lempriere,BOULDER CREEK,Queensland,4714,Australia,Australia,1962-11-02,61
8945,Female,Summer MacMahon,WARUMBUL,New South Wales,2229,Australia,Australia,1939-06-28,85
9167,Male,Luke Bushby,PARACOMBE,South Australia,5132,Australia,Australia,1975-12-02,48
9184,Male,Sam Zimpel,CORUNNUN,Victoria,3249,Australia,Australia,1964-11-24,59
9360,Male,Mitchell Adam,MOPARRABAH,New South Wales,2440,Australia,Australia,1955-01-30,69
9370,Female,Ruby Lock,Cook,Australian Capital Territory,2614,Australia,Australia,1953-05-26,71
9389,Female,Eliza Brophy,YEARINAN,New South Wales,2357,Australia,Australia,1956-04-08,68
9456,Male,Ryder Abdullah,CLAREDALE,Queensland,4807,Australia,Australia,1941-05-21,83
9812,Female,Kaitlyn Morshead,MINJARY,New South Wales,2720,Australia,Australia,1953-01-23,71
9915,Female,Ebony Buxton,SEPPINGS,Western Australia,6330,Australia,Australia,1991-11-10,32
10039,Female,Brianna Hann,NIKENBAH,Queensland,4655,Australia,Australia,1947-10-22,76
10189,Female,Alexis Birchell,FOREST REEFS,New South Wales,2798,Australia,Australia,1962-04-07,62
10276,Male,Angus Bardolph,BATEAU BAY,New South Wales,2261,Australia,Australia,1972-11-01,51
10299,Male,Anthony Macvitie,BEELBANGERA,New South Wales,2680,Australia,Australia,1937-05-27,87
10332,Male,James Burnage,Palmyra,Western Australia,6157,Australia,Australia,1937-03-26,87
10393,Male,Nicholas Moncrieff,ROSENTHAL HEIGHTS,Queensland,4370,Australia,Australia,1981-11-29,42
10395,Male,Cameron Dillon,STRATHERNE,Western Australia,6309,Australia,Australia,1996-02-25,28
10481,Female,Piper Maudsley,CELLS RIVER,New South Wales,2324,Australia,Australia,1977-04-17,47
10504,Male,Daniel Rusconi,SOUTH DATATINE,Western Australia,6317,Australia,Australia,1980-10-22,43
10717,Male,Harrison Ingram,MAYA,Western Australia,6614,Australia,Australia,1981-06-16,43
11035,Female,Makayla Meldrum,KINGS FOREST,New South Wales,2487,Australia,Australia,1939-12-08,84
11090,Female,Scarlett Scollen,SILVERWATER,New South Wales,2128,Australia,Australia,1953-01-20,71
11587,Male,Andrew Fenbury,York,Western Australia,6302,Australia,Australia,1977-11-09,46
11736,Female,Summer Brownrigg,YARRABILBA,Queensland,4207,Australia,Australia,1991-01-22,33
12084,Male,Toby Chauvel,GALGA,South Australia,5308,Australia,Australia,1958-07-20,66
12160,Male,Jett Creal,Oakhurst,New South Wales,2761,Australia,Australia,1956-09-05,67
12162,Female,Eva Lavarack,WHITTINGTON,Victoria,3219,Australia,Australia,1954-07-30,70
12207,Male,Aiden Jull,OGMORE,Queensland,4706,Australia,Australia,1955-11-30,68
12256,Female,Lilly Lynn,ROTHBURY,New South Wales,2320,Australia,Australia,1991-03-07,33
12365,Female,Natalie Lyon,STEEPLE FLAT,New South Wales,2631,Australia,Australia,1958-04-06,66
12385,Female,Lily Gribble,OVERLAND CORNER,South Australia,5330,Australia,Australia,1981-06-10,43
12392,Female,Laura Waterhouse,GREENHILL,South Australia,5140,Australia,Australia,1957-03-08,67
12649,Female,Rose Raven,NOBLE PARK NORTH,Victoria,3174,Australia,Australia,1965-12-11,58
12729,Male,Xavier Sturdee,STANNUM,New South Wales,2371,Australia,Australia,1937-10-14,86
12810,Male,Patrick Newbigin,Deer Park,Victoria,3023,Australia,Australia,1957-06-24,67
12859,Male,Koby Rayment,NABAWA,Western Australia,6532,Australia,Australia,1942-04-29,82
12868,Male,Nathan Greville,MALLALA,South Australia,5502,Australia,Australia,1961-03-12,63
13045,Female,Abbey Storkey,BLUE MOUNTAIN HEIGHTS,Queensland,4350,Australia,Australia,1957-10-19,66
13071,Female,Claudia Fuller,CUBALLING,Western Australia,6311,Australia,Australia,1973-06-28,51
13232,Female,Maya Coates,UNLEY BC,South Australia,5061,Australia,Australia,1985-08-12,39
13365,Male,Mitchell Cutlack,MOONEM,New South Wales,2471,Australia,Australia,1961-01-02,63
13607,Female,Gemma Maum,MAMBRAY CREEK,South Australia,5495,Australia,Australia,1954-09-21,69
14069,Male,Jacob Gairdner,ROB ROY,New South Wales,2360,Australia,Australia,1949-05-24,75
14180,Female,Ava Lockyer,KALGOORLIE,Western Australia,6430,Australia,Australia,1998-05-14,26
14275,Female,Dakota Dunshea,BENTLEY,New South Wales,2480,Australia,Australia,1979-05-02,45
14906,Female,Grace Houghton,BOYER,Tasmania,7140,Australia,Australia,1982-11-16,41
14962,Female,Mackenzie Newell,Crestwood,New South Wales,2153,Australia,Australia,1936-04-05,88
14988,Female,Emily Thirkell,WYNDHAM VALE,Victoria,3024,Australia,Australia,1958-07-24,66
15109,Female,Sara Marsden,WHALE BEACH,New South Wales,2107,Australia,Australia,1999-08-18,24
15385,Male,Harry Morgans,DOONGIN,Western Australia,6409,Australia,Australia,1995-05-11,29
15391,Female,Elizabeth Horsley,MARRAWEENEY,Victoria,3669,Australia,Australia,1989-01-25,35
15569,Female,Chelsea Weekes,COLAC,Victoria,3250,Australia,Australia,1983-09-08,40
15718,Female,Natalie Tennant,DAKENBA,Queensland,4715,Australia,Australia,1957-02-20,67
16193,Female,Isabelle Beggs,ALTONA,South Australia,5351,Australia,Australia,1964-05-10,60
16282,Female,Evie Kirkhope,REIDS FLAT,New South Wales,2586,Australia,Australia,2000-05-11,24
16716,Female,Abby Frater,KAYUGA,New South Wales,2333,Australia,Australia,1987-12-16,36
17412,Male,Mitchell Kwok,VICTORIA PARK,Western Australia,6100,Australia,Australia,1969-08-31,54
17811,Female,Alicia Hoy,WATTLE GLEN,Victoria,3096,Australia,Australia,1985-10-15,38
18067,Male,Rory Koerstz,MOUNT MCKENZIE,South Australia,5353,Australia,Australia,1941-10-26,82
18263,Male,Callum Semmens,RURAL VIEW,Queensland,4740,Australia,Australia,1978-06-01,46
18309,Male,Michael Vogt,FYANS CREEK,Victoria,3381,Australia,Australia,1992-01-07,32
18470,Male,Zac Pryor,GOSFORD,New South Wales,2250,Australia,Australia,1969-03-12,55
18493,Male,George Kevin,TASCOTT,New South Wales,2250,Australia,Australia,1994-09-27,29
18714,Male,Ashton Aitken,PINWERNYING,Western Australia,6317,Australia,Australia,1972-08-13,52
18887,Female,Zara Castleton,BOOROLITE,Victoria,3723,Australia,Australia,1978-11-25,45
19082,Male,Matthew Denman,RANSOME,Queensland,4154,Australia,Australia,1939-04-06,85
19207,Male,Luke Casimaty,KURRACA,Victoria,3518,Australia,Australia,1991-01-19,33
19404,Male,Cody O'Hea,WYNNUM,Queensland,4178,Australia,Australia,1997-06-10,27
19534,Female,Leah Martin,TOOBORAC,Victoria,3522,Australia,Australia,1964-12-13,59
19579,Female,Ava Reye,BARCALDINE,Queensland,4725,Australia,Australia,1949-10-16,74
19726,Female,Victoria Daly,WATANOBBI,New South Wales,2259,Australia,Australia,1973-01-28,51
19732,Female,Olivia Moresby,WAPPILKA,South Australia,5332,Australia,Australia,1981-08-31,42
19753,Female,Alyssa Solander,HOWTH,Tasmania,7316,Australia,Australia,1995-10-21,28
19916,Male,Hunter Samuel,LITTLE PLAIN,New South Wales,2360,Australia,Australia,1991-05-13,33
20069,Male,Jesse Parry-Okeden,GWINDINUP,Western Australia,6237,Australia,Australia,1980-11-24,43
20092,Female,Victoria Fitzsimmons,CAMBRIDGE GARDENS,New South Wales,2747,Australia,Australia,1947-05-03,77
20237,Male,Riley Montefiore,WILLIAMSTOWN,Victoria,3016,Australia,Australia,1986-07-14,38
20623,Female,Eva Rendall,CARLYLE,Victoria,3685,Australia,Australia,1994-03-11,30
20802,Male,Ben Whitworth,POLDA,South Australia,5670,Australia,Australia,1945-07-07,79
20946,Female,Taylah Walstab,WINTHROP,Western Australia,6150,Australia,Australia,1999-11-04,24
21203,Male,Tristan Dobie,CHARTWELL,Victoria,3030,Australia,Australia,1960-02-18,64
21387,Male,Christian Hughes,CREMORNE,New South Wales,2090,Australia,Australia,1970-01-26,54
21424,Male,Justin Tickell,HEYTESBURY LOWER,Victoria,3268,Australia,Australia,1940-07-29,84
21460,Female,Kayla De Beuzeville,GLENLYNN,Western Australia,6256,Australia,Australia,1957-11-01,66
21523,Male,Jayden Rennie,SWANHAVEN,New South Wales,2540,Australia,Australia,1969-12-06,54
21575,Male,Zac Chumleigh,CRAIGIE,Western Australia,6025,Australia,Australia,1991-12-29,32
21654,Female,Amber Monger,PARLIAMENT HOUSE,South Australia,5000,Australia,Australia,1950-02-03,74
21819,Female,Matilda Blacklock,Cleveland,Tasmania,7211,Australia,Australia,2000-06-18,24
21870,Female,Summer Gramp,BELTANA,South Australia,5730,Australia,Australia,1991-11-23,32
22158,Male,Will Parer,CHURCH POINT,New South Wales,2105,Australia,Australia,1996-12-10,27
22384,Male,Jaxon Cox,PEARCE,Australian Capital Territory,2607,Australia,Australia,1951-01-24,73
22540,Male,Connor Ruwolt,BANDYA,Western Australia,6440,Australia,Australia,1989-06-12,35
22775,Male,Flynn Campion,NEEDLES,Tasmania,7304,Australia,Australia,1958-08-27,65
22826,Male,Edward Putilin,ASHFIELD,Queensland,4670,Australia,Australia,1976-09-25,47
23128,Male,Zane Sinclaire,SUMMERLANDS,Victoria,3922,Australia,Australia,2000-01-02,24
23203,Female,Gemma Philipp,MADORA BAY,Western Australia,6210,Australia,Australia,1998-08-11,26
23267,Female,Gabrielle Zinnbauer,FLINDERS VIEW,Queensland,4305,Australia,Australia,1954-04-18,70
23320,Female,Samantha Weigel,WITTENOOM,Western Australia,6751,Australia,Australia,1960-04-15,64
23431,Female,Grace Scarf,SHEEP HILLS,Victoria,3392,Australia,Australia,1970-10-27,53
23599,Female,Maddison Blanc,FORRESTERS BEACH,New South Wales,2260,Australia,Australia,1989-10-12,34
23854,Male,Ali Wroblewski,MURRAWOMBIE,New South Wales,2825,Australia,Australia,1943-01-02,81
24069,Male,Edward Carron,ULMARRA,New South Wales,2462,Australia,Australia,1985-05-20,39
24230,Female,Zoe Dadswell,DAVOREN PARK SOUTH,South Australia,5113,Australia,Australia,1979-10-26,44
24575,Female,Stella O'Mahony,PLACID HILLS,Queensland,4343,Australia,Australia,2000-06-07,24
24920,Female,Natalie Robey,CORNY POINT,South Australia,5575,Australia,Australia,1938-04-17,86
25308,Female,Angelina Kates,WEST WIANGAREE,New South Wales,2474,Australia,Australia,1987-03-12,37
25771,Female,Mikayla Shenton,BOOLCARROLL,New South Wales,2388,Australia,Australia,1959-07-26,65
25864,Male,Zane Corkill,SHIRLEY,Victoria,3373,Australia,Australia,1995-05-05,29
25935,Male,Charlie D'Arcy,BURNT YARDS,New South Wales,2792,Australia,Australia,1975-01-13,49
26458,Male,George Creer,Westbury,Victoria,3825,Australia,Australia,1979-04-28,45
26477,Male,Caleb Willshire,MORISSET,New South Wales,2264,Australia,Australia,1959-11-05,64
26642,Male,Noah Moloney,ELIZABETH BEACH,New South Wales,2428,Australia,Australia,1978-09-30,45
26728,Female,Gemma Allan,MARRICKVILLE SOUTH,New South Wales,2204,Australia,Australia,1979-01-18,45
26906,Male,Xavier McPhee,CLEMTON PARK,New South Wales,2206,Australia,Australia,1974-06-16,50
26914,Female,Amelia England,MOUNT COTTRELL,Victoria,3024,Australia,Australia,1940-10-10,83
26970,Female,Rose Frater,BENDIGO SOUTH,Victoria,3550,Australia,Australia,1990-11-12,33
27125,Female,Ashley Hornung,ARNO BAY,South Australia,5603,Australia,Australia,1976-03-16,48
27210,Male,Liam Osborn,MOOTAI,New South Wales,2325,Australia,Australia,1973-07-02,51
27356,Male,Hamish D'Hage,TURRAMURRA,New South Wales,2074,Australia,Australia,1969-10-02,54
27432,Female,Mikayla Favenc,CLEVE,South Australia,5640,Australia,Australia,1998-09-26,25
27492,Female,Bianca Coombe,YAMBUK,Victoria,3285,Australia,Australia,1987-11-04,36
27616,Male,Cameron Tebbutt,BANNOCKBURN,Victoria,3331,Australia,Australia,1987-05-17,37
27896,Male,Zachary McLeish,JACUP,Western Australia,6337,Australia,Australia,1973-10-17,50
27945,Male,Charlie Stralia,SOFALA,New South Wales,2795,Australia,Australia,1974-05-20,50
28076,Female,Alannah Onus,AVOCA,Tasmania,7213,Australia,Australia,1979-01-02,45
28559,Male,Samuel Israel,YILKI,South Australia,5211,Australia,Australia,1968-12-07,55
28690,Male,Leo Walcott,MILLCHESTER,Queensland,4820,Australia,Australia,1987-09-12,36
28702,Female,Charli Lhotsky,DREWVALE,Queensland,4116,Australia,Australia,1966-06-30,58
29041,Male,Logan Barling,LINDENOW,Victoria,3865,Australia,Australia,1937-11-14,86
29278,Male,Justin Hartog,PINEVALE,Queensland,4754,Australia,Australia,1990-09-04,33
29303,Male,Max Cohn,KIRTON POINT,South Australia,5606,Australia,Australia,1983-05-01,41
29320,Male,Levi Barraclough,BLACKBUTT,New South Wales,2529,Australia,Australia,1938-10-14,85
29475,Female,Madison Pocock,TUROSS,New South Wales,2630,Australia,Australia,1965-07-03,59
29555,Male,Owen Edouard,GLEN MARTIN,New South Wales,2321,Australia,Australia,1992-07-03,32
29593,Male,Liam Nettleton,BAKARA,South Australia,5354,Australia,Australia,1995-08-18,28
29647,Female,Jessica Maynard,BRENDA,New South Wales,2831,Australia,Australia,1956-05-28,68
29689,Female,Alexis Phillipps,BURWOOD HEIGHTS,New South Wales,2136,Australia,Australia,1966-08-28,57
29812,Male,Marcus Napier,ST KILDA ROAD CENTRAL,Victoria,3004,Australia,Australia,1966-11-19,57
29837,Female,Rebecca Jaques,MOUNT GEORGE,New South Wales,2424,Australia,Australia,1938-08-14,86
29973,Female,Lauren Langton,DUCKINWILLA,Queensland,4650,Australia,Australia,1937-09-24,86
30090,Male,George Farrer,PARK AVENUE,Queensland,4701,Australia,Australia,1960-10-07,63
30278,Female,Madeleine Kiddle,JACANA,Victoria,3047,Australia,Australia,1945-09-12,78
30428,Female,Sienna Conrick,EARLSTON,Victoria,3669,Australia,Australia,1999-12-01,24
31086,Female,Kate Snowden,WITTENOOM,Western Australia,6751,Australia,Australia,1985-01-30,39
31164,Male,Hunter Boehm,BOWES,Western Australia,6535,Australia,Australia,1948-06-15,76
31236,Female,Abby Warburton,THREE BRIDGES,Victoria,3797,Australia,Australia,1959-08-08,65
31288,Male,Adam Banning,CLAY WELLS,South Australia,5280,Australia,Australia,1988-08-28,35
31374,Female,Ellie Griffin,ST AGNES,South Australia,5097,Australia,Australia,1960-12-02,63
31721,Female,Alyssa Isaacs,GULFVIEW HEIGHTS,South Australia,5096,Australia,Australia,1961-01-19,63
31784,Male,Zac Scherk,WAMBAN,New South Wales,2537,Australia,Australia,1968-01-02,56
32037,Male,Aaron Knopwood,LAKE MOKOAN,Victoria,3673,Australia,Australia,1989-02-14,35
32190,Female,Paige Lacey,DELAMERE,South Australia,5204,Australia,Australia,1954-10-28,69
32259,Female,Ashley Dane?,SEVENHILL,South Australia,5453,Australia,Australia,1975-11-21,48
32294,Male,Kai Nepean,RITE ISLAND,Queensland,4807,Australia,Australia,1948-08-04,76
32455,Female,Charlotte Crane,MOSQUITO CREEK,Queensland,4387,Australia,Australia,1997-05-09,27
32488,Male,Max Wylie,STAFFORD DC,Queensland,4053,Australia,Australia,1954-03-15,70
32511,Male,Jasper Glassop,Woodford,New South Wales,2463,Australia,Australia,1964-02-29,60
32538,Female,Eva Hazon,BOOMOODEERIE,New South Wales,2469,Australia,Australia,1986-07-20,38
32939,Female,Alica Sizer,WONGULLA,South Australia,5238,Australia,Australia,1951-06-09,73
33036,Male,Tyler Galvin,BYNG,New South Wales,2798,Australia,Australia,1959-07-31,65
33205,Male,Andrew Hollway,CRYSTAL BROOK,Queensland,4800,Australia,Australia,1943-01-10,81
33444,Male,Brodie Thirkell,CLAYTON,Victoria,3168,Australia,Australia,1968-01-09,56
34081,Female,Imogen Permewan,FYANS CREEK,Victoria,3381,Australia,Australia,1939-05-08,85
34126,Female,Victoria Tasman,MENINGIE EAST,South Australia,5264,Australia,Australia,1967-09-07,56
34143,Male,John Gowlland,WARRANWOOD,Victoria,3134,Australia,Australia,1991-04-07,33
34431,Male,Leo Badger,BEACONSFIELD,Western Australia,6162,Australia,Australia,1940-02-02,84
34451,Male,Harry Edwin,GLADSTONE,New South Wales,2440,Australia,Australia,1972-11-01,51
34462,Male,Tyson Tishler,TALAROO,Queensland,4871,Australia,Australia,1938-07-09,86
34850,Female,Caitlin O'Loghlin,BLUE VALE,New South Wales,2380,Australia,Australia,1960-11-30,63
34915,Female,Kate Byles,MOUNT CRYSTAL,New South Wales,2665,Australia,Australia,1969-01-28,55
35257,Female,Ella Oxenham,FERNHILL,New South Wales,2519,Australia,Australia,1970-02-20,54
35479,Male,Jeremy Petre,COSSACK,Western Australia,6720,Australia,Australia,1978-06-08,46
35703,Male,Rory Cotton,LUGARNO,New South Wales,2210,Australia,Australia,1961-12-14,62
35733,Female,Charlotte Shaw,WAROONA,Western Australia,6215,Australia,Australia,1955-05-14,69
35795,Male,Riley Clegg,MOYARRA,Victoria,3951,Australia,Australia,1995-08-07,29
36112,Female,Emma Gepp,ANNUELLO,Victoria,3549,Australia,Australia,1937-02-12,87
36336,Female,Anna Burston,DJARAWONG,Queensland,4854,Australia,Australia,1990-09-21,33
36418,Female,Jorja Whitlam,MOUNT DAVID,New South Wales,2795,Australia,Australia,1946-02-18,78
36507,Male,Joseph Paten,Golden Valley,Tasmania,7304,Australia,Australia,1955-03-23,69
36816,Male,Luke Lazenby,LONGWARRY NORTH,Victoria,3816,Australia,Australia,1971-05-18,53
36918,Male,Blake Mann,OWEN,South Australia,5460,Australia,Australia,1982-11-06,41
37070,Female,Alyssa Hooker,WANGANUI,New South Wales,2482,Australia,Australia,1981-07-18,43
37251,Male,Leo Scerri,GHERANG,Victoria,3240,Australia,Australia,1951-06-17,73
37408,Male,Jaxon Rebell,TORRENS,Australian Capital Territory,2607,Australia,Australia,1975-10-11,48
37580,Female,Mariam Baylee,TOMAHAWK,Tasmania,7262,Australia,Australia,1942-01-12,82
